video_id,title,channel_title,published_at,view_count,like_count,comment_count,duration,category_id
lOHVMmZ6n3o,"BORDER 2: Ghar Kab Aaoge | Sunny Deol | Anu,Mithoon, Sonu, Roop, Arijit, Vishal, Diljit, Javed,Manoj",T-Series,2026-01-02T14:00:06Z,17571727,753787,38244,PT3M11S,10
fJaAYcERf3Y,Jana Nayagan - Official Trailer | Thalapathy Vijay | Pooja Hegde | H Vinoth | Anirudh | KVN,KVN PRODUCTIONS,2026-01-03T13:15:05Z,19453068,1102972,77007,PT2M52S,1
GkNh54g7_d0,FIRST STREAM OF 2026 🥳 | JONATHAN IS BACK!! | BGMI!!,JONATHAN GAMING,2026-01-02T23:10:42Z,1829592,159601,648,PT7H16M29S,20
KoGOONSG1_g,Ghar Kab Aaoge (From “BORDER 2”),Anu Malik - Topic,2026-01-02T05:42:00Z,2187062,112395,308,PT10M35S,10
tzNTBH3RS0g,Jana Nayagan | Trailer Reaction | Thalapathy Vijay | H Vinoth | Malayalam,LifeofShazzam,2026-01-03T14:36:23Z,305328,25203,1306,PT6M56S,24
3A7iNYwyG5s,I Found FATHER of ALL MOBS in Minecraft!,Carry Depie,2026-01-03T08:39:54Z,861231,12395,716,PT16M26S,20
raOAYDLgOAQ,#Video | #Khesari Lal Yadav | बुलबुल | #Shilpi Raj | Ft. #Neelam Giri | Bulbul | Bhojpuri Song 2026,Sur Music ,2026-01-02T01:31:01Z,2190647,150138,26682,PT3M15S,10
gGOioM0fMRc,Jana Nayagan Trailer Review | Yogi Bolta Hai,YOGI BOLTA HAI,2026-01-03T17:30:09Z,275037,16813,1501,PT3M40S,24
iQrUZaa3-Sg,I Cheated With Scary Potion In Minecraft Build Battle ….,Karry Kraft,2026-01-03T12:09:52Z,489996,7562,259,PT11M18S,20
nQrrVyVIYvw,"Vaammo Vaayyo | Bhartha Mahasayulaku Wignyapthi | Ravi Teja, Ashika R, Dimple H | Bheems Ceciroleo",Saregama Telugu,2026-01-02T10:39:46Z,4014831,35167,1014,PT3M2S,10
9QBppIBhCqM,JANA NAYAGAN -Official Trailer [ Tamil ] |Vijay Thalapathy|Bobby Deol | H.Vinoth | New movie Trailer,"WHITE CHILLIES ENTERTAINMENT 


.",2026-01-02T11:44:26Z,730229,22375,226,PT1M36S,24
OjrYt0twb1s,KYA YE SEASON LEGEND HOGA? | ULTIMATE ROYALE OR WHAT | BGMI LIVE,LoLzZz Gaming,2026-01-03T21:52:42Z,500290,25513,26,PT6H51S,20
_1nYLqS7Dgw,Dekho Dekho Mujhe Chhod Na Dena | नए साल की सुपरहिट कव्वाली | देखो देखो मुझे छोड़ | Khwaja Qawwali,Shree Cassette Islamic,2026-01-03T00:00:50Z,187665,3805,190,PT11M15S,10
JV28P4dzjLY,Jana Nayagan - Official Trailer : Decoding | Thalapathy Vijay | Hidden Details | Vinoth | Ani | KVN,MAAYAM STUDIOS,2026-01-03T16:25:48Z,177084,7964,766,PT26M35S,25
0ttNImp0-Do,INDIA vs NEW ZEALAND 1ST ODI HIGHLIGHTS 2026 | INDIA vs NEW ZEALAND ODI 2026 | IND vs NZ | CRICKET,Cric Analysis TV,2026-01-02T08:15:24Z,1989218,0,0,PT13M51S,17
TFTnJzWRTJ8,"Naal Nachna | Dhurandhar | Ranveer Singh, Sara Arjun, Shashwat Sachdev, Afsana Khan, Reble, Irshad",Saregama Music,2025-12-31T10:30:08Z,3525503,44297,1018,PT2M6S,10
eozmYcH3qsY,Jana Nayagan(JanNeta) Trailer REVIEW | HINDI |,Suraj Kumar,2026-01-03T15:39:42Z,154310,10234,1074,PT4M21S,24
